state_name,district_name,crop_year,season,crop,area_,production_,Yield_kg_ha
Andaman And Nicobar Islands,NICOBARS,2000,Kharif,arecanut,1254.0,2000.0,1594.896331738437
Andaman And Nicobar Islands,NICOBARS,2000,Kharif,other kharif pulses,2.0,1.0,500.0
Andaman And Nicobar Islands,NICOBARS,2000,Kharif,rice,102.0,321.0,3147.0588235294117
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,banana,176.0,641.0,3642.0454545454545
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,cashewnut,720.0,165.0,229.16666666666666
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,coconut,18168.0,65100000.0,3583223.249669749
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,dry ginger,36.0,100.0,2777.777777777778
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,sugarcane,1.0,2.0,2000.0
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,sweet potato,5.0,15.0,3000.0
Andaman And Nicobar Islands,NICOBARS,2000,Whole Year,tapioca,40.0,169.0,4225.0
Andaman And Nicobar Islands,NICOBARS,2001,Kharif,arecanut,1254.0,2061.0,1643.5406698564593
Andaman And Nicobar Islands,NICOBARS,2001,Kharif,other kharif pulses,2.0,1.0,500.0
Andaman And Nicobar Islands,NICOBARS,2001,Kharif,rice,83.0,300.0,3614.4578313253014
Andaman And Nicobar Islands,NICOBARS,2001,Whole Year,cashewnut,719.0,192.0,267.0375521557719
Andaman And Nicobar Islands,NICOBARS,2001,Whole Year,coconut,18190.0,64430000.0,3542056.074766355
Andaman And Nicobar Islands,NICOBARS,2001,Whole Year,dry ginger,46.0,100.0,2173.913043478261
Andaman And Nicobar Islands,NICOBARS,2001,Whole Year,sugarcane,1.0,1.0,1000.0
Andaman And Nicobar Islands,NICOBARS,2001,Whole Year,sweet potato,11.0,33.0,3000.0
Andaman And Nicobar Islands,NICOBARS,2002,Kharif,rice,189.2,510.84,2700.0
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,arecanut,1258.0,2083.0,1655.8028616852146
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,banana,213.0,1278.0,6000.0
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,black pepper,63.0,13.5,214.28571428571428
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,cashewnut,719.0,208.0,289.2906815020862
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,coconut,18240.0,67490000.0,3700109.649122807
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,dry chillies,413.0,28.8,69.73365617433414
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,dry ginger,47.3,133.0,2811.8393234672308
Andaman And Nicobar Islands,NICOBARS,2002,Whole Year,sugarcane,5.0,40.0,8000.0
Andaman And Nicobar Islands,NICOBARS,2003,Kharif,rice,52.0,90.17,1734.0384615384614
Andaman And Nicobar Islands,NICOBARS,2003,Whole Year,arecanut,1261.0,1525.0,1209.3576526566217
