state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,month,year,quarter
Andaman And Nicobar,South Andaman,Port Blair,amaranthus,Amaranthus,2019-03-04,6000,8000,7000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,banana - green,Banana - Green,2019-03-04,4500,5500,5000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,okra,Bhindi,2019-03-04,6000,8000,7000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,bitter gourd,Other,2019-03-04,6000,8000,7000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,black pepper,Other,2019-03-04,110000,130000,120000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,bottle gourd,Other,2019-03-04,3000,4000,3500,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,brinjal,Other,2019-03-04,7000,8000,7500,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,cabbage,Other,2019-03-04,6000,7000,6500,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,carrot,Other,2019-03-04,9000,11000,10000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,cauliflower,Other,2019-03-04,10000,12000,11000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,cluster beans,Cluster Beans,2019-03-04,8000,10000,9000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,coconut,Big,2019-03-04,5400,6000,5600,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,colacasia,Other,2019-03-04,5000,7000,6000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,onion,Other,2019-03-04,2000,3500,3000,3,2019,1
Andaman And Nicobar,South Andaman,Port Blair,potato,Other,2019-03-04,2000,3500,3000,3,2019,1
Andhra Pradesh,Chittor,Kalikiri,tomato,Local,2019-03-04,400,960,620,3,2019,1
Andhra Pradesh,Chittor,Mulakalacheruvu,tomato,Local,2019-03-04,200,500,300,3,2019,1
Andhra Pradesh,Chittor,Vayalapadu,tomato,Local,2019-03-04,400,1120,760,3,2019,1
Andhra Pradesh,Kurnool,Banaganapalli,chickpea,Desi (Whole),2019-03-04,4500,4700,4600,3,2019,1
Andhra Pradesh,Kurnool,Banaganapalli,jowar(sorghum),Jowar ( White),2019-03-04,1800,1950,1900,3,2019,1
